player_id,player_display_name,position,team,season,week,season_type,passing_yards,passing_tds,rushing_yards,rushing_tds,receiving_yards,receiving_tds
00-0023459,Aaron Rodgers,QB,PIT,2026,1,REG,244,4,-1,0,0,0
00-0026498,Matthew Stafford,QB,LA,2026,1,REG,245,1,-2,0,0,0
00-0030506,Travis Kelce,TE,KC,2026,1,REG,0,0,0,0,47,1
00-0030565,Geno Smith,QB,LV,2026,1,REG,362,1,10,0,0,0
00-0031381,Davante Adams,WR,LA,2026,1,REG,0,0,0,0,51,0
00-0031408,Mike Evans,WR,TB,2026,1,REG,0,0,0,0,51,0
00-0031588,Stefon Diggs,WR,NE,2026,1,REG,0,0,0,0,57,0
00-0032764,Derrick Henry,RB,BAL,2026,1,REG,0,0,169,2,13,0
00-0033077,Dak Prescott,QB,DAL,2026,1,REG,188,0,3,0,0,0
00-0033090,Hunter Henry,TE,NE,2026,1,REG,0,0,0,0,66,0
00-0033106,Jared Goff,QB,DET,2026,1,REG,225,1,-1,0,0,0
00-0033280,Christian McCaffrey,RB,SF,2026,1,REG,0,0,69,0,73,0
00-0033288,George Kittle,TE,SF,2026,1,REG,0,0,0,0,25,1
00-0033293,Aaron Jones,RB,MIN,2026,1,REG,0,0,23,0,44,1
00-0033526,Samaje Perine,RB,CIN,2026,1,REG,0,0,0,0,6,0
00-0033873,Patrick Mahomes,QB,KC,2026,1,REG,258,1,57,1,0,0
00-0033881,Evan Engram,TE,DEN,2026,1,REG,0,0,0,0,21,0
00-0033906,Alvin Kamara,RB,NO,2026,1,REG,0,0,45,1,12,0
00-0034348,Courtland Sutton,WR,DEN,2026,1,REG,0,0,0,0,61,1
00-0034351,Dallas Goedert,TE,PHI,2026,1,REG,0,0,0,0,44,0
00-0034383,Dalton Schultz,TE,HOU,2026,1,REG,0,0,0,0,28,0
00-0034753,Mark Andrews,TE,BAL,2026,1,REG,0,0,0,0,5,0
00-0034796,Lamar Jackson,QB,BAL,2026,1,REG,209,2,70,1,0,0
00-0034827,DJ Moore,WR,CHI,2026,1,REG,0,0,8,0,68,0
00-0034829,Mike Gesicki,TE,CIN,2026,1,REG,0,0,0,0,14,0
00-0034844,Saquon Barkley,RB,PHI,2026,1,REG,0,0,60,1,24,0
00-0034855,Baker Mayfield,QB,TB,2026,1,REG,167,3,39,0,0,0
00-0034857,Josh Allen,QB,BUF,2026,1,REG,394,2,30,2,0,0
00-0034869,Sam Darnold,QB,SEA,2026,1,REG,150,0,14,0,0,0
00-0034975,Justice Hill,RB,BAL,2026,1,REG,0,0,-14,0,3,0
00-0035228,Kyler Murray,QB,ARI,2026,1,REG,163,2,38,0,0,0
00-0035229,T.J. Hockenson,TE,MIN,2026,1,REG,0,0,0,0,15,0
00-0035261,Tony Pollard,RB,TEN,2026,1,REG,0,0,60,0,29,0
00-0035535,Darius Slayton,WR,NYG,2026,1,REG,0,0,0,0,0,0
00-0035640,DK Metcalf,WR,PIT,2026,1,REG,0,0,0,0,83,0
00-0035659,Terry McLaurin,WR,WAS,2026,1,REG,0,0,0,0,27,0
00-0035676,A.J. Brown,WR,PHI,2026,1,REG,0,0,0,0,8,0
00-0035685,David Montgomery,RB,DET,2026,1,REG,0,0,25,0,18,0
00-0035700,Josh Jacobs,RB,GB,2026,1,REG,0,0,66,1,4,0
00-0035710,Daniel Jones,QB,IND,2026,1,REG,272,1,26,2,0,0
00-0035719,Deebo Samuel Sr.,WR,WAS,2026,1,REG,0,0,19,1,77,0
00-0036040,Juwan Johnson,TE,NO,2026,1,REG,0,0,0,0,76,0
00-0036139,Rico Dowdle,RB,CAR,2026,1,REG,0,0,12,0,4,0
00-0036158,J.K. Dobbins,RB,DEN,2026,1,REG,0,0,63,1,5,0
00-0036212,Tua Tagovailoa,QB,MIA,2026,1,REG,114,1,7,0,0,0
00-0036223,Jonathan Taylor,RB,IND,2026,1,REG,0,0,71,0,27,0
00-0036244,Colby Parkinson,TE,LA,2026,1,REG,0,0,0,0,-6,0
00-0036252,Michael Pittman,WR,IND,2026,1,REG,0,0,0,0,80,1
00-0036264,Jordan Love,QB,GB,2026,1,REG,188,2,4,0,0,0
00-0036275,D'Andre Swift,RB,CHI,2026,1,REG,0,0,53,0,12,0
00-0036322,Justin Jefferson,WR,MIN,2026,1,REG,0,0,4,0,44,1
00-0036355,Justin Herbert,QB,LAC,2026,1,REG,318,3,32,0,0,0
00-0036358,CeeDee Lamb,WR,DAL,2026,1,REG,0,0,0,0,110,0
00-0036389,Jalen Hurts,QB,PHI,2026,1,REG,152,0,62,2,0,0
00-0036407,Jerry Jeudy,WR,CLE,2026,1,REG,0,0,0,0,66,0
00-0036410,Tee Higgins,WR,CIN,2026,1,REG,0,0,0,0,33,0
00-0036442,Joe Burrow,QB,CIN,2026,1,REG,113,1,3,0,0,0
00-0036550,Rashod Bateman,WR,BAL,2026,1,REG,0,0,0,0,10,0
00-0036554,Nico Collins,WR,HOU,2026,1,REG,0,0,0,0,25,0
00-0036555,Chuba Hubbard,RB,CAR,2026,1,REG,0,0,57,0,32,1
00-0036613,Jaylen Waddle,WR,MIA,2026,1,REG,0,0,0,0,30,0
